username,e_positive,e_negative,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
alfian_ay,3.125,1.391,0.475,1.060,0.395,0.760,1.297,0.504,0.519,1.479
Canc_ers,1.710,1.056,0.304,1.227,0.371,0.528,1.254,0.437,1.040,0.449
lenoydew,1.465,1.575,0.583,0.829,0.417,0.706,0.606,0.542,0.377,0.649
Chyntw_,3.056,2.016,0.458,1.212,0.660,0.765,1.253,0.850,0.579,1.470
stttopp,2.289,1.702,0.479,1.087,0.370,0.577,1.011,0.777,0.677,0.931
savirapu,2.726,1.269,0.430,1.447,0.267,0.541,1.589,0.544,0.939,1.336
gorjesparkle,1.234,0.736,0.196,0.527,0.181,0.232,0.487,0.249,0.235,0.659
hasinaNr,2.158,0.957,0.205,0.834,0.218,0.369,0.935,0.470,0.487,0.840
latifanajla__,2.198,1.398,0.375,1.036,0.452,0.553,0.987,0.676,0.662,0.836
Dyeah13,2.553,1.276,0.453,1.134,0.296,0.424,1.319,0.540,0.741,1.146
aliencuk,1.627,1.067,0.342,0.609,0.236,0.473,0.640,0.386,0.280,0.671
detiaferlian,0.806,0.317,0.077,0.222,0.111,0.099,0.350,0.134,0.228,0.493
putriyuniardi,2.020,1.295,0.388,0.946,0.243,0.536,0.959,0.440,0.723,0.814
fildzahanais,2.504,0.866,0.222,0.970,0.266,0.327,1.256,0.395,0.492,1.185
imfnia,2.633,1.074,0.245,0.990,0.260,0.369,1.274,0.425,0.324,1.531
stephanieayuu,2.295,1.378,0.337,0.868,0.437,0.556,0.916,0.592,0.657,0.730
farahmhdyyh,2.030,0.802,0.196,1.222,0.120,0.262,1.341,0.318,0.984,0.602
rizkaaulia,2.156,0.800,0.133,1.062,0.176,0.241,1.106,0.327,0.794,0.758
ViraGutubela,2.383,0.718,0.250,0.749,0.160,0.346,0.850,0.326,0.244,1.251
kimsatgat2,2.001,1.795,0.836,0.961,0.711,0.941,1.073,0.869,0.632,0.868
Rizol_Rizal,2.000,0.883,0.209,1.044,0.202,0.357,0.956,0.398,0.321,0.907
mautongue,1.125,0.828,0.202,0.497,0.209,0.277,0.507,0.280,0.263,0.572
fanirchm27,2.307,1.437,0.384,1.149,0.294,0.539,1.162,0.672,0.521,1.069
rallyanta,2.769,1.513,0.507,1.348,0.415,0.735,1.148,0.639,0.816,1.242
yuliawafa,1.987,1.249,0.302,1.066,0.273,0.405,1.198,0.482,0.744,0.635
Zulijanis,2.944,1.749,0.499,1.195,0.538,0.600,1.180,0.668,0.392,1.837
haluhaluclubbb,2.046,0.919,0.202,0.761,0.151,0.321,0.687,0.243,0.439,0.934
nauli_permata,2.027,0.895,0.211,0.990,0.255,0.305,0.998,0.317,0.759,0.771
erickdidudidu,2.494,1.180,0.377,0.984,0.405,0.596,1.222,0.553,0.512,1.179
achadianrani,2.493,1.949,0.599,1.250,0.588,0.819,1.213,0.790,0.729,1.095
JulianDennis1,2.353,0.454,0.141,0.905,0.130,0.213,1.400,0.172,1.090,0.899
T_Gooners16,3.041,1.982,0.780,1.434,0.675,1.099,1.365,0.862,0.912,1.595
ichatarina,2.746,2.265,0.743,1.305,0.635,0.889,1.285,0.990,0.464,1.535
rizka_christian,2.409,1.108,0.224,1.076,0.338,0.517,1.360,0.592,0.834,0.939
Okyranda,2.747,1.246,0.317,0.924,0.293,0.485,1.123,0.531,0.410,1.697
evaxevi,2.109,0.912,0.250,0.864,0.188,0.319,0.890,0.297,0.373,1.062
Bettyindahr,2.126,1.272,0.290,1.482,0.252,0.525,1.296,0.549,0.801,0.750
micinsassae,1.915,1.396,0.309,0.805,0.197,0.499,0.625,0.496,0.389,1.191
Indahastikas,2.166,1.245,0.196,0.901,0.191,0.463,0.852,0.484,0.353,1.049
selftalker,3.022,2.259,0.641,1.490,0.597,0.931,1.377,0.963,0.387,1.584
ussiiyy,2.278,1.380,0.370,1.014,0.230,0.500,1.049,0.490,0.519,1.349
abcdenjiii,2.075,0.878,0.258,0.815,0.136,0.344,1.015,0.340,0.680,0.906
ekahanda,2.716,1.103,0.243,1.079,0.195,0.398,1.018,0.423,0.322,1.447
puten_hijau,1.959,1.111,0.276,0.583,0.300,0.351,0.839,0.503,0.486,1.063
Naddyadw,2.338,1.170,0.479,1.500,0.302,0.517,1.443,0.444,0.902,0.852
wydyudi_,2.503,1.710,0.520,1.059,0.465,0.721,0.980,0.797,0.661,1.111
Nysmonworld,2.579,1.453,0.352,1.309,0.434,0.622,1.089,0.607,0.510,1.296
afidazkyy,2.539,1.408,0.327,1.058,0.308,0.441,0.906,0.642,0.523,1.188
iqbalpaz,3.049,1.902,0.366,1.021,0.324,0.832,1.083,0.733,0.564,1.466
Gabriielle_L,1.642,0.772,0.281,1.056,0.263,0.242,1.089,0.285,0.565,0.972
NadyaUlfahN,2.678,1.487,0.596,1.221,0.281,0.513,1.377,0.513,0.736,1.313
astikhairunnisa,2.522,1.257,0.350,1.191,0.287,0.465,1.358,0.534,0.741,1.095
dwiahkam,1.832,0.524,0.132,1.010,0.108,0.184,1.103,0.270,0.341,0.843
tastyducky,2.187,1.308,0.367,0.959,0.321,0.533,1.064,0.617,0.558,0.907
Ghias_yusuf,2.458,1.686,0.660,1.127,0.642,0.684,1.325,0.732,0.851,1.187
Darna17,2.467,1.559,0.307,1.126,0.368,0.589,0.978,0.751,0.510,1.039
daranagas,2.935,1.791,0.398,1.335,0.423,0.752,1.285,0.687,0.602,1.606
jooshpn,2.657,2.257,0.731,1.372,0.664,1.055,0.967,0.864,0.530,1.263
azwardfauzan,1.197,0.797,0.331,0.491,0.354,0.379,0.525,0.329,0.284,0.640
dzakimadhani,2.524,1.525,0.435,1.213,0.391,0.766,1.216,0.691,0.662,1.094
alfrisadivaw,1.521,0.835,0.239,0.809,0.255,0.252,0.827,0.371,0.431,0.564
Idrisg8,2.426,1.533,0.483,0.922,0.478,0.745,1.041,0.642,0.437,1.425
arangkecap,2.377,1.728,0.595,1.017,0.551,0.937,1.116,0.702,0.597,1.241
chandnidevi,2.408,1.029,0.273,1.211,0.183,0.399,1.257,0.394,0.493,0.997
pocagurii,2.537,1.925,0.655,1.139,0.680,0.915,1.303,0.870,0.734,1.063
ysyni,2.492,2.276,0.635,1.124,0.576,0.829,1.034,0.976,0.275,1.574
yudkuswar,2.272,1.168,0.350,1.071,0.324,0.539,1.080,0.598,0.859,0.825
Joabaldo,2.442,1.806,0.759,1.243,0.376,0.589,0.942,0.562,0.362,1.677
pujaypujilpuu,1.965,1.154,0.236,0.565,0.411,0.262,0.604,0.360,0.243,1.202
MaulanaRiandi,2.477,1.542,0.583,1.307,0.440,0.765,1.072,0.648,0.585,1.379
vnyriany,2.749,1.287,0.481,1.189,0.364,0.609,1.379,0.624,0.587,1.425
awwlltl,2.083,1.140,0.228,0.807,0.193,0.429,0.746,0.371,0.414,0.986
anakyangtangkas,2.407,1.176,0.324,0.882,0.294,0.528,0.678,0.570,0.300,1.471
nisable23,1.097,0.581,0.263,0.547,0.160,0.238,0.697,0.255,0.162,0.629
akuuuberuang,2.512,1.874,0.547,1.211,0.445,0.964,1.013,0.626,0.532,1.410
kokocrvnch,2.621,1.977,0.713,1.319,0.552,0.865,1.017,0.891,0.495,1.341
fia_lutfiazhari,2.841,1.542,0.322,1.193,0.294,0.511,1.263,0.714,0.585,1.437
marisahafsyah94,1.912,1.040,0.416,0.926,0.291,0.495,1.042,0.453,0.352,0.913
oziechonky,2.969,1.383,0.522,1.016,0.318,0.714,1.048,0.558,0.354,2.063
Rzqmentari,2.490,1.525,0.531,1.191,0.373,0.734,1.170,0.547,0.510,1.338
introperti,2.763,1.670,0.431,1.281,0.373,0.743,1.269,0.724,0.583,1.284
lerinarin,2.166,1.399,0.489,0.989,0.371,0.626,1.005,0.669,0.469,1.064
imadamii,2.487,1.074,0.236,1.173,0.255,0.389,1.184,0.485,0.622,1.327
g1tsy,2.967,2.044,0.676,1.091,0.489,0.914,1.178,0.710,0.542,1.596
kerakteloorr,3.071,2.069,0.577,1.239,0.532,0.850,1.377,0.683,0.594,1.705
dellapj_,2.636,1.264,0.419,1.115,0.332,0.533,1.317,0.529,0.681,1.322
adlfynf,2.395,1.412,0.448,1.206,0.349,0.669,1.229,0.446,0.647,1.096
erisyaeris,2.779,1.265,0.325,1.265,0.267,0.637,1.244,0.524,0.791,1.198
miftahulilma10,2.427,1.743,0.473,1.185,0.538,0.645,1.171,0.698,0.591,1.122
alaaini1,2.427,1.743,0.473,1.185,0.538,0.645,1.171,0.698,0.591,1.122
Ociirosiana,2.883,1.744,0.397,1.251,0.424,0.734,1.190,0.767,0.240,1.627
Jollajoly,2.401,1.449,0.326,1.412,0.350,0.472,1.322,0.695,0.913,0.941
vnessapatricia,1.298,0.539,0.211,0.563,0.192,0.172,0.778,0.264,0.362,0.756
elzr13,2.827,2.422,0.755,1.334,0.679,1.182,1.114,0.881,0.676,2.070
rarraayu,2.827,2.422,0.755,1.334,0.679,1.182,1.114,0.881,0.676,2.070
deliahndt,0.888,0.605,0.131,0.452,0.128,0.194,0.505,0.193,0.225,0.281
Bananamilxxx,2.292,1.865,0.615,0.976,0.484,0.805,1.007,0.835,0.472,1.295
cipipiw,2.214,1.441,0.470,1.017,0.422,0.571,1.188,0.578,0.520,0.985
Anggycaa,2.483,1.274,0.372,1.138,0.305,0.524,1.317,0.483,0.460,1.055
rissaafh,2.353,1.097,0.365,0.719,0.300,0.386,0.950,0.448,0.486,1.371
nadihng,2.383,1.999,0.460,1.033,0.470,0.612,0.883,0.859,0.351,1.470
punyauname,3.080,2.180,0.712,1.122,0.673,0.914,1.523,0.737,0.552,1.695
nggitw,3.362,1.714,0.602,1.410,0.511,0.875,1.455,0.691,0.506,1.893
destandriyani,1.635,0.878,0.363,0.792,0.149,0.335,0.835,0.303,0.544,0.739
Saccharinande,3.220,1.497,0.507,1.403,0.376,0.775,1.577,0.741,0.432,1.772
Sora_Alxean,2.503,1.457,0.506,1.083,0.493,0.743,1.127,0.561,0.608,1.249
kepikbesar,2.671,1.988,0.588,1.314,0.528,0.780,1.382,0.780,0.601,1.301
rafitaasr,3.117,2.242,0.739,1.207,0.631,1.046,1.371,0.776,0.473,1.619
i_frankenstein,2.540,1.494,0.497,1.099,0.475,0.732,1.062,0.636,0.421,1.451
Alaniafitri,2.719,1.602,0.580,1.425,0.455,0.747,1.362,0.636,0.819,1.327
Yokozka,2.778,1.216,0.330,1.092,0.360,0.525,1.276,0.442,0.349,1.520
bukandove,2.778,1.216,0.330,1.092,0.360,0.525,1.276,0.442,0.349,1.520
silmiotmiot,2.778,1.216,0.330,1.092,0.360,0.525,1.276,0.442,0.349,1.520
Metinaayu_,2.778,1.216,0.330,1.092,0.360,0.525,1.276,0.442,0.349,1.520
elidoff,3.093,1.749,0.566,1.212,0.452,0.901,1.358,0.712,0.427,1.807
denokdhena,3.010,1.673,0.581,1.277,0.427,0.894,1.398,0.639,0.639,1.540
dheaniranabila,3.322,1.350,0.315,1.314,0.333,0.590,1.589,0.485,0.573,1.631
ki_cuu,1.954,0.715,0.127,0.562,0.129,0.248,0.710,0.265,0.196,1.192
v3isvthree,3.227,1.906,0.449,1.101,0.381,0.714,1.324,0.814,0.395,2.077
heyhestyy,1.813,1.261,0.307,0.814,0.278,0.525,0.869,0.569,0.384,0.832
timutiimuti,1.939,0.613,0.142,1.253,0.171,0.257,1.241,0.242,1.014,0.619
rvghalif,2.302,1.828,0.584,1.177,0.564,0.943,1.083,0.737,0.476,1.345
Trisawardanis,3.044,1.452,0.607,1.356,0.351,0.548,1.537,0.481,0.387,1.715
Zyoslin,2.936,1.483,0.375,1.137,0.373,0.655,1.356,0.533,0.790,1.335
munawaroh_mona,2.395,1.447,0.489,1.026,0.356,0.538,1.012,0.632,0.228,2.038
febbyjulietta,2.524,2.294,0.741,1.365,0.600,0.977,1.364,0.984,0.472,1.464
hkawilarangg,2.493,1.124,0.479,1.100,0.342,0.601,1.167,0.504,0.772,1.079
mellahae,1.860,0.948,0.498,0.884,0.426,0.570,0.976,0.418,0.320,1.097
ptorianns,2.532,1.712,0.669,1.208,0.398,0.612,1.200,0.639,0.492,1.399
a2lir,2.539,1.882,0.535,1.010,0.433,0.751,1.264,0.867,0.626,1.299
lilstep95,3.078,1.947,0.621,1.363,0.566,0.871,1.584,0.842,0.535,1.546
oneperson01_,1.800,1.046,0.458,0.786,0.311,0.485,0.900,0.486,0.357,0.825
Nurulainiii,2.007,1.312,0.335,0.713,0.258,0.546,0.979,0.587,0.344,1.057
diniheryani,2.766,1.548,0.483,1.128,0.422,0.704,1.211,0.701,0.458,1.516
apdesti_,2.017,1.670,0.462,1.219,0.361,0.693,0.921,0.651,0.578,0.835
rahmatfathoni,2.125,0.764,0.247,0.883,0.234,0.355,0.988,0.344,0.473,0.978
Nadiadjibran,2.728,2.189,0.794,1.581,0.645,1.034,1.411,0.808,0.572,1.460
tiaraindhprmt,2.209,0.810,0.196,0.737,0.220,0.268,0.956,0.390,0.572,1.169
Inkafbrn,3.102,2.264,0.752,1.373,0.461,1.006,1.506,0.699,0.677,1.499
ErvhanS,2.073,1.367,0.392,1.032,0.444,0.548,0.825,0.660,0.467,1.264
andiniayu,2.484,1.124,0.221,1.105,0.324,0.392,1.162,0.554,0.575,1.043
EmangGemeshin,2.856,1.740,0.585,1.314,0.501,0.714,1.278,0.739,0.634,1.354
ejakulasi_,1.912,1.466,0.648,0.622,0.608,0.808,0.752,0.669,0.365,0.998
Ariefpopoh,2.419,1.561,0.513,1.173,0.410,0.643,1.059,0.670,0.395,1.250
gramelt,2.789,1.438,0.414,1.231,0.324,0.536,1.237,0.591,0.583,1.533
Gebiyaeputri,2.589,1.198,0.415,1.079,0.334,0.495,1.016,0.448,0.432,1.522
astrifaj,2.535,1.403,0.270,0.974,0.235,0.445,0.910,0.625,0.387,1.463
tramadanur,2.323,1.161,0.300,0.972,0.234,0.571,0.948,0.430,0.375,1.070
duwaaaay,2.486,1.081,0.228,1.246,0.248,0.397,1.342,0.428,0.875,1.018
alitapuspa_,2.473,0.844,0.227,1.095,0.118,0.352,1.207,0.307,0.794,0.876
Fitrisip,2.486,1.519,0.210,1.238,0.232,0.486,1.030,0.586,0.337,1.080
yusrinasmarani,2.490,1.468,0.292,1.191,0.408,0.417,1.435,0.736,0.482,1.035
Abdee,1.610,0.891,0.369,0.537,0.278,0.862,0.504,0.459,0.212,1.236
almostbeyours,2.328,1.509,0.360,1.064,0.396,0.516,1.059,0.661,0.498,1.248
ursnflwr_,2.131,0.932,0.294,0.704,0.270,0.342,0.762,0.432,0.527,1.010
novitakurniap,2.099,1.372,0.216,1.217,0.178,0.421,0.994,0.518,0.580,0.829
Alfinalfinn,1.125,0.724,0.303,0.565,0.286,0.380,0.619,0.367,0.525,0.365
Januarrmdhn,2.480,0.898,0.300,0.846,0.187,0.307,0.884,0.333,0.374,1.278
Dwidys_,1.958,0.725,0.241,0.908,0.162,0.252,0.965,0.270,0.430,0.922
liayurh_,1.660,0.875,0.128,0.635,0.133,0.198,0.826,0.379,0.168,0.880
Isnakhairi,2.345,1.103,0.288,0.988,0.222,0.455,1.068,0.478,0.600,1.126
agus_trianto,2.104,1.408,0.347,0.682,0.608,0.455,1.031,0.828,0.593,0.966
iyaininajau,2.057,1.193,0.371,1.028,0.252,0.408,1.125,0.441,0.741,0.786
ovilsp,2.004,1.747,0.361,1.066,0.247,0.557,0.972,0.597,0.571,0.739
virraaa_,2.250,1.349,0.306,1.157,0.239,0.407,1.020,0.491,0.613,0.952
baksopangsitnya,2.289,1.368,0.441,0.734,0.254,0.430,0.734,0.583,0.312,1.248
liawrdhani,2.386,2.172,0.369,1.275,0.413,0.868,1.002,0.805,0.564,1.100
adinnda_ekhaa,2.543,2.361,0.672,1.247,0.556,0.852,1.146,1.135,0.318,1.397
puteriroro,2.423,1.143,0.266,0.718,0.225,0.336,0.738,0.491,0.235,1.497
tahtaallfina,3.027,1.562,0.461,1.392,0.348,0.634,1.589,0.669,0.518,1.390
meniaclosia,2.796,1.857,0.753,1.276,0.436,0.783,1.310,0.631,0.621,1.416
adityandr,1.717,0.555,0.180,0.454,0.114,0.189,0.550,0.227,0.208,1.088
