username,follower,following,favorite,tweets,retweet,favorited
alfian_ay,211,214,594,37957,437,215
canc_ers,317,456,942,19991,885,20
lenoydew,306,160,5877,15929,864,335
chyntw_,822,263,774,54754,817,1756
stttopp,385,262,798,17818,1361,183
savirapu,505,272,4093,16906,740,147
gorjesparkle,345,242,408,1357,187,14
hasinanr,344,297,977,6640,1119,44
latifanajla__,107,119,684,1592,55,140
dyeah13,293,243,2323,17535,1067,75
aliencuk,78,50,4354,2090,34,1276
detiaferlian,825,260,12,3095,160,52
putriyuniardi,681,386,1623,67782,1681,89
fildzahanais,148,441,4774,3525,489,391
imfnia,448,382,596,9199,181,90
stephanieayuu,725,123,40,15563,750,346
farahmhdyyh,96,126,1307,1754,383,72
rizkaaulia,719,401,668,67888,628,125
viragutubela,218,203,2777,3074,112,175
kimsatgat2,62,189,37921,15132,492,769
rizol_rizal,380,645,87,8771,704,44
mautongue,1197,323,706,51108,2291,61
fanirchm27,875,524,193,62865,1198,201
rallyanta,333,308,184,8323,1868,131
yuliawafa,178,116,225,11809,1618,194
zulijanis,27,177,10243,2220,804,1292
haluhaluclubbb,337,484,3000,24056,1171,271
nauli_permata,60,129,76,1950,214,91
erickdidudidu,1048,845,3954,20106,1016,643
achadianrani,293,246,881,28257,598,188
juliandennis1,625,363,22590,19286,1231,371
t_gooners16,195,205,624,8649,1609,288
ichatarina,272,180,1206,20593,121,115
rizka_christian,1956,58,86,88611,407,2338
okyranda,419,540,178,9900,1624,213
evaxevi,444,269,1594,9118,313,428
bettyindahr,31,194,982,3771,843,73
micinsassae,214,165,1361,4705,734,421
indahastikas,316,246,291,24373,356,201
selftalker,272,191,741,13561,524,768
ussiiyy,1456,583,20749,170117,853,248
abcdenjiii,225,216,604,8913,770,162
ekahanda,531,822,312,30496,691,27
puten_hijau,301,346,1398,2924,456,302
naddyadw,410,385,296,13028,1170,82
wydyudi_,592,164,174,3687,950,120
nysmonworld,34,72,1496,1846,328,258
afidazkyy,487,263,374,2547,693,821
iqbalpaz,464,457,11565,14894,6,1369
gabriielle_l,675,494,362,15156,800,111
nadyaulfahn,443,605,596,12032,1005,1594
astikhairunnisa,581,477,3346,34883,317,733
dwiahkam,367,206,104,8699,362,42
tastyducky,36,193,2129,2514,346,476
ghias_yusuf,298,245,283,4216,427,158
darna17,310,265,173,6965,583,158
daranagas,111,350,153,1658,497,249
jooshpn,492,132,850,4272,1560,562
azwardfauzan,83,128,17,2180,359,4
dzakimadhani,172,138,717,1536,413,40
alfrisadivaw,105,110,4746,1164,64,4
idrisg8,309,1355,1171,20486,1636,1014
arangkecap,107,158,189,2583,40,313
chandnidevi,568,511,22466,127479,436,3556
pocagurii,188,260,5658,8846,396,206
ysyni,259,586,1919,10867,390,1277
yudkuswar,279,351,6827,30363,715,506
joabaldo,225,103,637,16065,351,1205
pujaypujilpuu,419,133,11347,9690,54,1438
maulanariandi,535,745,322,44313,1700,221
vnyriany,392,332,9880,5419,653,502
awwlltl,336,426,784,7014,445,840
anakyangtangkas,494,649,26546,19585,250,872
nisable23,245,605,4580,6649,2557,100
akuuuberuang,93,175,19435,2900,522,2717
kokocrvnch,345,847,3270,21538,405,451
fia_lutfiazhari,659,312,5285,26062,395,595
marisahafsyah94,565,461,959,14772,1963,226
oziechonky,203,341,849,4957,705,284
rzqmentari,443,429,1114,15174,1195,89
introperti,382,124,355,9070,1144,197
