username,positive,negative,neutral,follower,following,favorite,tweets,retweet,favorited
alfian_ay,7.04,-4.24,15.24,211,214,594,37957,437,215
canc_ers,2.71,-2.78,9.17,317,456,942,19991,885,20
lenoydew,4.43,-4.25,11.47,306,160,5877,15929,864,335
chyntw_,6.17,-4.73,18.02,822,263,774,54754,817,1756
stttopp,3.24,-3.75,14.51,385,262,798,17818,1361,183
savirapu,5.2,-2.68,15.91,505,272,4093,16906,740,147
gorjesparkle,2.65,-1.99,7.86,345,242,408,1357,187,14
hasinanr,3.87,-2.31,12.67,344,297,977,6640,1119,44
latifanajla__,4.21,-3.67,14.59,107,119,684,1592,55,140
dyeah13,5.2,-2.95,13.14,293,243,2323,17535,1067,75
aliencuk,3.12,-2.35,15.45,78,50,4354,2090,34,1276
detiaferlian,1.52,-0.84,6.93,825,260,12,3095,160,52
putriyuniardi,4.08,-3.63,12.17,681,386,1623,67782,1681,89
fildzahanais,4.41,-1.99,13.07,148,441,4774,3525,489,391
imfnia,4.86,-2.8,14.75,448,382,596,9199,181,90
stephanieayuu,3.16,-3.13,17.29,725,123,40,15563,750,346
farahmhdyyh,3.7,-2.03,11.32,96,126,1307,1754,383,72
rizkaaulia,2.92,-2.32,10.64,719,401,668,67888,628,125
viragutubela,4.34,-1.56,11.32,218,203,2777,3074,112,175
kimsatgat2,4.67,-3.26,14.54,62,189,37921,15132,492,769
rizol_rizal,4.28,-1.67,14.46,380,645,87,8771,704,44
mautongue,2.11,-1.76,9.89,1197,323,706,51108,2291,61
fanirchm27,5.23,-3.09,14.62,875,524,193,62865,1198,201
rallyanta,4.7,-3.32,17.66,333,308,184,8323,1868,131
yuliawafa,5.14,-3.28,10.55,178,116,225,11809,1618,194
zulijanis,8.59,-5.27,18.09,27,177,10243,2220,804,1292
haluhaluclubbb,3.45,-1.71,16.6,337,484,3000,24056,1171,271
nauli_permata,2.05,-2.2,11.35,60,129,76,1950,214,91
erickdidudidu,4.76,-2.78,19.14,1048,845,3954,20106,1016,643
achadianrani,4.6,-4.94,15.69,293,246,881,28257,598,188
juliandennis1,3.92,-1.18,10.53,625,363,22590,19286,1231,371
t_gooners16,5.01,-5.46,17.82,195,205,624,8649,1609,288
ichatarina,5.76,-5.34,19.38,272,180,1206,20593,121,115
rizka_christian,5.61,-2.75,13.22,1956,58,86,88611,407,2338
okyranda,5.29,-3.01,16.84,419,540,178,9900,1624,213
evaxevi,3.32,-2.34,10.77,444,269,1594,9118,313,428
bettyindahr,3.84,-3.1,13.04,31,194,982,3771,843,73
micinsassae,3.52,-3.37,13.04,214,165,1361,4705,734,421
indahastikas,3.6,-3.49,15.27,316,246,291,24373,356,201
selftalker,7.03,-6.15,19.7,272,191,741,13561,524,768
ussiiyy,4.58,-2.4,16.0,1456,583,20749,170117,853,248
abcdenjiii,3.0,-1.96,12.7,225,216,604,8913,770,162
ekahanda,3.62,-3.28,16.15,531,822,312,30496,691,27
puten_hijau,4.04,-2.58,12.24,301,346,1398,2924,456,302
naddyadw,4.84,-2.64,13.52,410,385,296,13028,1170,82
wydyudi_,4.66,-4.39,16.68,592,164,174,3687,950,120
nysmonworld,4.34,-3.15,15.47,34,72,1496,1846,328,258
afidazkyy,4.3,-3.71,18.66,487,263,374,2547,693,821
iqbalpaz,6.2,-4.12,16.58,464,457,11565,14894,6,1369
gabriielle_l,3.54,-1.47,11.52,675,494,362,15156,800,111
nadyaulfahn,5.04,-3.99,13.08,443,605,596,12032,1005,1594
astikhairunnisa,4.16,-2.58,16.08,581,477,3346,34883,317,733
dwiahkam,3.78,-1.15,11.1,367,206,104,8699,362,42
tastyducky,4.59,-3.07,12.74,36,193,2129,2514,346,476
ghias_yusuf,5.5,-4.39,17.49,298,245,283,4216,427,158
darna17,4.46,-3.6,18.01,310,265,173,6965,583,158
daranagas,5.38,-4.46,15.99,111,350,153,1658,497,249
jooshpn,6.82,-5.86,20.54,492,132,850,4272,1560,562
azwardfauzan,2.67,-1.82,10.88,83,128,17,2180,359,4
dzakimadhani,5.68,-3.71,17.05,172,138,717,1536,413,40
alfrisadivaw,3.82,-1.82,11.19,105,110,4746,1164,64,4
idrisg8,4.28,-4.03,17.91,309,1355,1171,20486,1636,1014
arangkecap,5.0,-4.11,19.63,107,158,189,2583,40,313
chandnidevi,4.56,-2.21,17.87,568,511,22466,127479,436,3556
pocagurii,4.38,-4.47,16.12,188,260,5658,8846,396,206
ysyni,6.26,-5.78,17.87,259,586,1919,10867,390,1277
yudkuswar,4.12,-2.9,13.14,279,351,6827,30363,715,506
joabaldo,5.0,-3.27,16.62,225,103,637,16065,351,1205
pujaypujilpuu,2.84,-2.66,10.39,419,133,11347,9690,54,1438
maulanariandi,4.24,-3.47,21.53,535,745,322,44313,1700,221
vnyriany,5.49,-3.38,16.6,392,332,9880,5419,653,502
awwlltl,3.51,-2.04,18.71,336,426,784,7014,445,840
