username,retweet,favorited
alfian_ay,437,215
canc_ers,885,20
lenoydew,864,335
chyntw_,817,1756
stttopp,1361,183
savirapu,740,147
gorjesparkle,187,14
hasinanr,1119,44
latifanajla__,55,140
dyeah13,1067,75
aliencuk,34,1276
detiaferlian,160,52
putriyuniardi,1681,89
fildzahanais,489,391
imfnia,181,90
stephanieayuu,750,346
farahmhdyyh,383,72
rizkaaulia,628,125
viragutubela,112,175
kimsatgat2,492,769
rizol_rizal,704,44
mautongue,2291,61
fanirchm27,1198,201
rallyanta,1868,131
yuliawafa,1618,194
zulijanis,804,1292
haluhaluclubbb,1171,271
nauli_permata,214,91
erickdidudidu,1016,643
achadianrani,598,188
juliandennis1,1231,371
t_gooners16,1609,288
ichatarina,121,115
rizka_christian,407,2338
okyranda,1624,213
evaxevi,313,428
bettyindahr,843,73
micinsassae,734,421
indahastikas,356,201
selftalker,524,768
ussiiyy,853,248
abcdenjiii,770,162
ekahanda,691,27
puten_hijau,456,302
naddyadw,1170,82
wydyudi_,950,120
nysmonworld,328,258
afidazkyy,693,821
iqbalpaz,6,1369
gabriielle_l,800,111
nadyaulfahn,1005,1594
astikhairunnisa,317,733
dwiahkam,362,42
tastyducky,346,476
ghias_yusuf,427,158
darna17,583,158
daranagas,497,249
jooshpn,1560,562
azwardfauzan,359,4
dzakimadhani,413,40
alfrisadivaw,64,4
idrisg8,1636,1014
arangkecap,40,313
chandnidevi,436,3556
pocagurii,396,206
ysyni,390,1277
yudkuswar,715,506
joabaldo,351,1205
pujaypujilpuu,54,1438
maulanariandi,1700,221
vnyriany,653,502
awwlltl,445,840
anakyangtangkas,250,872
nisable23,2557,100
akuuuberuang,522,2717
kokocrvnch,405,451
fia_lutfiazhari,395,595
marisahafsyah94,1963,226
oziechonky,705,284
rzqmentari,1195,89
introperti,1144,197
lerinarin,1888,617
imadamii,420,39
g1tsy,853,779
kerakteloorr,2207,1637
dellapj_,314,129
adlfynf,1049,904
erisyaeris,760,2511
miftahulilma10,315,289
alaaini1,2231,397
ociirosiana,1890,146
jollajoly,918,171
vnessapatricia,997,13
elzr13,924,6863
rarraayu,785,86
deliahndt,943,26
bananamilxxx,900,166
cipipiw,333,2512
anggycaa,676,237
rissaafh,423,50
nadihng,1207,225
punyauname,1755,237
nggitw,1170,60
destandriyani,1264,5797
saccharinande,563,41
sora_alxean,401,721
kepikbesar,1088,3242
rafitaasr,1783,226
i_frankenstein,612,287
alaniafitri,557,42
yokozka,673,653
bukandove,794,55
silmiotmiot,587,18
metinaayu_,915,330
elidoff,1364,1357
denokdhena,2144,56
dheaniranabila,415,553
ki_cuu,360,2381
v3isvthree,2161,342
heyhestyy,797,104
timutiimuti,121,340
rvghalif,666,333
trisawardanis,467,686
zyoslin,780,670
munawaroh_mona,863,74
febbyjulietta,1984,131
hkawilarangg,793,451
mellahae,3016,9
ptorianns,420,210
a2lir,656,180
lilstep95,1722,461
oneperson01_,2361,170
nurulainiii,1779,172
diniheryani,898,26
apdesti_,317,956
rahmatfathoni,14,4
nadiadjibran,648,281
tiaraindhprmt,494,18
inkafbrn,2403,34
ervhans,876,59
andiniayu,161,126
emanggemeshin,629,226
ejakulasi_,772,3995
ariefpopoh,874,231
gramelt,544,283
gebiyaeputri,665,160
astrifaj,750,124
alitapuspa_,574,257
fitrisip,289,51
yusrinasmarani,87,83
abdee,15,85
almostbeyours,1399,826
ursnflwr_,933,623
novitakurniap,659,190
alfinalfinn,839,684
januarrmdhn,412,796
dwidys_,787,67
liayurh_,1656,217
isnakhairi,83,2720
agus_trianto,781,61
iyaininajau,375,293
ovilsp,444,15
virraaa_,298,1682
baksopangsitnya,1152,131
liawrdhani,1799,163
adinnda_ekhaa,67,4551
puteriroro,510,432
tahtaallfina,686,560
meniaclosia,685,727
adityandr,445,25
yulfaariza,747,137
rohanahrey,972,127
sekarumn,973,993
joeniararief,476,1038
linggaralfi,500,343
hlutami,1541,183
r_fiika,663,239
hidadahida,480,15
iphune,556,129
vanillasvgar,212,38
kodelle_,676,773
strybycy,935,175
phoebee_ip,1882,191
kalisnakal,745,188
rpdelimaa,503,220
iffamee,1130,205
lulufrdni,143,66
shelfiw,337,114
adityosusanto_,1311,1169
grestina,25,5
nneninot1996,1629,173
taritahir,1847,115
shafiraara,910,13
dzakyhaidar__,1655,444
granweastery,412,216
yuuta__96,1320,556
egabetari,1021,145
lailapurnamas,196,13
indraszlaila,597,34
devaina,232,317
nidakarin,229,1
fitriindy,344,226
isnanarahma,646,103
pinochiao,370,2433
ramdaneinstein,50,45
effendisgurl,488,74
mi_chiamo_joel,1750,139
sfaui,169,15
dikmabelarosa,481,444
zea_mays07,544,105
ni,336,733
okkyskripsi,612,106
nopiynovi,1172,76
artikakristi,262,50
ferrafbryn,1290,1521
amalinafitrah,561,118
salsabilabia,669,451
indomilk,96,266645
ibnubons,1579,94
wequte,1875,5
jehademusa,1626,900
qthrnnada,151,26
hapsarihn,475,257
chuggingtonn,14,720
naurakh,1389,388
atikapuspi,1395,59
kissst__,390,11
fitripratiwi_pn,429,135
penguntitkmvrt,134,176
agustinurfika,260,26
lenteeramerahh,455,1101
inimella1,221,502
adamumemo,2167,572
astridvivianni,170,34
ath_tobe,12,114
benrskbyg,1211,2029
boboxsiang,4,109
bojaktempur,13,396
citora_,143,46
dannytandean,1368,101
driddv,180,91
firmanoktaf,152,12
jundie_m,216,146
krisnawah,300,686
leoagung98,236,228
rahmanizar_,220,17
riskaadesuryani,1869,121
semesta_human,194,50
siti_sr137,309,2154
ariantipp,5,0
betyratih,2102,63
clarisahasya,2091,93
fhrz99,251,152
fridamayanti,2412,32
esjaeruk,2004,46
igonovaldi,609,162
juliepuspita01,219,106
khelian_ni_s,69,15
komalasari_ak,423,91
melyst94,2176,501
nanasambara,224,47
niazmi_,247,42
pipaaw,7,2
rotiisicoklat,2148,150
salisnurk,206,465
saraadaay,78,271
siti89nurjanah,304,148
susiindah16,233,353
sweetenxerrrr,2064,290
triaisharaa,319,89
trianeee_,2102,98
